address,status,encoded_constructor_args,decoded_constructor_args
0x9b1188e01b45a283cde53888ed1558fb6f9ae692,no_constructor,,
0x53b57b8b16c073f73aebea1fb08074430bc21c34,no_constructor,,
0x19a00e359990ec7daf6e9dd9a2fb7664014bb5f7,decode_failed,,
0x85aa3f04e539e426cbb55c0d584ea99cfe1d96a1,missing_files,,
0xb3a194ad6604b6e9d8c0a4cb286d4e7d137bfe56,decoded,000000000000000000000000c853aba2710766b03da9bac250e0d1c2e0c1356c000000000000000000000000000000000000000000000000000000003b9aca00,"{""qaaklss"": 1143664067493124911132309082349442804641360328044, ""totalSupply_"": 1000000000}"
0x5a752c9fe3520522ea88f37a41c3ddd97c022c2f,decoded,0000000000000000000000009bac8f8827dd3acd0f36b467d7b251ba208ae722000000000000000000000000000000000000000000000000000000003b9aca00,"{""qqmd9z8"": 888741801040121118466969595091488983542657640226, ""totalSupply_"": 1000000000}"
0xc84e1748376781c09703c1292d9dd659ebfc0c8b,decoded,000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000000000000000000000084595161401484a0000000000000000000000000000000000000000000000000000000000000000000008457468427265616400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034554420000000000000000000000000000000000000000000000000000000000,"{""name_"": ""EthBread"", ""symbol_"": ""ETB"", ""total_"": 10000000000000000000000000}"
0x920a7cbd0b5aed31827385783e7af245331ca9ee,decoded,00000000000000000000000055d398326f99059ff775485246999027b319795500000000000000000000000010ed43c718714eb63d5aa57b78b54704e256024e000000000000000000000000e9476782229fa7dd5609184d44bf358bb987b69d0000000000000000000000000000000000000000000000000000000002faf080,"{""usdtAddress"": ""0x55d398326f99059ff775485246999027b3197955"", ""uniswapV2Router"": ""0x10ed43c718714eb63d5aa57b78b54704e256024e"", ""toAddress"": ""0xe9476782229fa7dd5609184d44bf358bb987b69d"", ""amount"": 50000000}"
0x2266362f414bf2476c5465dc2ea953fe2a99ae1c,no_constructor,,
0xe252f49be54006256660f706a5f96ecabfd56f1c,no_constructor,,
0xc3602d8d7301a69b8e36ac438b911fbe4f8a37b3,no_constructor,,
0x2b3559c3dbdb294cbb71f2b30a693f4c6be6132d,no_constructor,,
0x93023f1d3525e273f291b6f76d2f5027a39bf302,decoded,0000000000000000000000000000000000000000033b2e3c9fd0803ce80000000000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000500000000000000000000000010ed43c718714eb63d5aa57b78b54704e256024e00000000000000000000000055d398326f99059ff775485246999027b3197955000000000000000000000000bf918a2789befe024c011b94cc0faa4410e21567,"{""initialSupply"": 1000000000000000000000000000, ""_buyMarketingFee"": 5, ""_sellMarketingFee"": 5, ""_router"": ""0x10ed43c718714eb63d5aa57b78b54704e256024e"", ""_usdt"": ""0x55d398326f99059ff775485246999027b3197955"", ""_feeAddress"": ""0xbf918a2789befe024c011b94cc0faa4410e21567""}"
0x992da3dcbe17bf3c4a2745b4ce7f6e94f5dae591,no_constructor,,
0x28120471e1e42e15a71af5e39ca9f93099f34d2d,no_constructor,,
0x9af81028b3af6bfaab171479b91caf010eaaa94f,no_constructor,,
0x8d07f605926837ea0f9e1e24dba0fb348cb3e97d,no_constructor,,
0xced59c3249f20ca36fba764bfdd9d94f471b3154,no_constructor,,
0x8883fa1d06b1653b08557f90f19c92b86c382cfb,no_constructor,,
0xa4ee4e71598137bf60954344f50f7e2b6d884086,no_constructor,,
0x6185521d06f17ab5fbe187dc9a699c3c021090d5,no_constructor,,
0x5b162a19e04d2fa4bbb5707674c8c3cdb0ae9673,decoded,00000000000000000000000056aaa2efe12f7aa4724a8ed7eed6894c3f01b4db000000000000000000000000000000000000000000000000000000003b9aca00,"{""q7k084r"": 494778526791729868769079898749853201369302938843, ""totalSupply_"": 1000000000}"
0x24426b171ddc9b6e14d95e92c88415b141e4db5a,no_constructor,,
0x20ad08f1261ede735f9295da675a5d969cd3f072,decoded,00000000000000000000000010ed43c718714eb63d5aa57b78b54704e256024e,"{""routerAddress"": ""0x10ed43c718714eb63d5aa57b78b54704e256024e""}"
0xf99f2aec50adfde23cc67ab6240168b0a59f1d30,no_constructor,,
0x34c2837e11bd18f426c39e6767d52c3868df8dc2,decoded,000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000005f5e100000000000000000000000000000000000000000000000000000000000000000f4269744372616674204f6e6c696e65000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044249415200000000000000000000000000000000000000000000000000000000,"{""_name"": ""BitCraft Online"", ""_symbol"": ""BIAR"", ""_totalSupply"": 100000000}"
0x04a162a8c6d7eb922a3f7b46e59743ea3311576d,decoded,000000000000000000000000f719afda07f99e2f5e17affd773a5e2be19dc3e1,"{""vipooo"": ""0xf719afda07f99e2f5e17affd773a5e2be19dc3e1""}"
0xdc2ce29256a7f44c3a291f8c08d575593455bc39,decoded,00000000000000000000000000000000000000000000000000000000000000120000000000000000000000001c4e6392033ef008414b08e8ce70e1b1b7fd1254,"{""decimals_"": 18, ""a8cik10"": 161599873510400184829922816617360875721565475412}"
0xdf7ff95aa3d855a6fb21399432166a92fdcf1b1a,no_constructor,,
0x996f581341881a796481916c6b3f34f1b74ffcdf,decoded,000000000000000000000000c94dc4686552c50cb304944ce66b75bf1463a763000000000000000000000000000000000000000000000000000000003b9aca00,"{""qf91ygy"": 1149241411847969179696212689588813999354327312227, ""totalSupply_"": 1000000000}"
0x87230146e138d3f296a9a77e497a2a83012e9bc5,decoded,0000000000000000000000004f3bdcd5576d478cffdb77e0cfcf6a8236cfd2600000000000000000000000006bdb3b0fd9f39427a07b8ab33bac32db67eb4e38,"{""_game"": ""0x4f3bdcd5576d478cffdb77e0cfcf6a8236cfd260"", ""_sir"": ""0x6bdb3b0fd9f39427a07b8ab33bac32db67eb4e38""}"
0x43e9a9e4c5793cbf6b754e11171dbf43dc70095b,no_constructor,,
0x732cc1642905af1b7c394c0812dbc4779cbf2b2d,decoded,0000000000000000000000008b0505c4a89c8dc625d0f782591f002aaf3f9825,"{""_taker"": ""0x8b0505c4a89c8dc625d0f782591f002aaf3f9825""}"
0x761776f726168c9df6dc63d5864880801e21f403,no_constructor,,
0xeb0dafa840df31f5ae18d54d96bf9c7760fdb904,decoded,000000000000000000000000b4611c62f4c91e61cc6eff4d4ecc6ea79c2fe60c0000000000000000000000001838d8dae4d11388d7bddb8cf69ff0e6b303d31000000000000000000000000007e4d1bb18623b3ef8a710f70b0f88b033214ca0000000000000000000000000a25a783d41b9fcde000f091312f17a3edaacbff700000000000000000000000081ea3a78bc78626532af718226524316dd417a360000000000000000000000001ab740925b6d0a0898de4fa7d6b5070853d9e6fa0000000000000000000000000000000000000000000000000000000000a7d8c000000000000000000000000000000000000000000000000000000000000000c8000000000000000000000000000000000000000000000000000000000000012c000000000000000000000000000000000000000000000000000000000000012c0000000000000000000000000000000000000000000000000000000000000064000000000000000000000000000000000000000000000000000000000000238c0000000000000000000000000000000000000000000000000000000000000064000000000000000000000000000000000000000000000000000000000000006400000000000000000000000000000000000000000000000000000000000000c800000000000000000000000000000000000000000000000000000000000001f4000000000000000000000000000000000000000000000000000000000000238c00000000000000000000000029a3d03d742341eaa5fb4c2d65d6d86dc24e5e4900000000000000000000000079bb59be37ca57a2c51c76e33f0f530c1138eb2b0000000000000000000000000a1a6ef11b1515117350c4439a0eb051f743e9670000000000000000000000008153e2df7961dc11cd36a1557fc4d25d25d81afa00000000000000000000000000000000000000000000000000000000000020d000000000000000000000000000000000000000000000000000000000000003e800000000000000000000000000000000000000000000000000000000000000c800000000000000000000000000000000000000000000000000000000000000c800000000000000000000000000000000000000000000000000000000000000c8,"{""_contractAddrs"": [""0xb4611c62f4c91e61cc6eff4d4ecc6ea79c2fe60c"", ""0x1838d8dae4d11388d7bddb8cf69ff0e6b303d310"", ""0x07e4d1bb18623b3ef8a710f70b0f88b033214ca0"", ""0xa25a783d41b9fcde000f091312f17a3edaacbff7"", ""0x81ea3a78bc78626532af718226524316dd417a36"", ""0x1ab740925b6d0a0898de4fa7d6b5070853d9e6fa""], ""_totalAmount"": 11000000, ""buyFee"": [200, 300, 300, 100, 9100], ""sellFee"": [100, 100, 200, 500, 9100], ""_addrs"": [""0x29a3d03d742341eaa5fb4c2d65d6d86dc24e5e49"", ""0x79bb59be37ca57a2c51c76e33f0f530c1138eb2b"", ""0x0a1a6ef11b1515117350c4439a0eb051f743e967"", ""0x8153e2df7961dc11cd36a1557fc4d25d25d81afa""], ""coinConfig"": [8400, 1000, 200, 200, 200]}"
